Epoch,Influence Score,Index,Input,Label
0,206896.33,0,97-30,67
0,-923.8531,1,16-18,94
0,-132.22032,2,2-72,26
0,-648.596,3,15-70,41
0,1052.7444,4,36-67,65
0,588.3202,5,75-85,86
0,185.21776,6,25-75,46
0,-801.2756,7,48-50,94
0,-461.14267,8,9-82,23
0,364.97736,9,81-63,18
0,1064.704,10,37-9,28
0,-1350.8813,11,86-17,69
0,866.5601,12,49-21,28
0,265.02634,13,75-87,84
0,-439.9547,14,14-62,48
0,-338.5499,15,24-27,93
0,-1455.0198,16,91-72,19
0,-514.3755,17,38-71,63
0,308.90668,18,61-51,10
0,1064.3186,19,80-6,74
0,-633.9192,20,7-62,41
0,-710.57825,21,17-6,11
0,-781.55176,22,47-36,11
0,122.72703,23,51-50,1
0,316.65387,24,56-36,20
0,413.95413,25,3-54,45
0,443.62408,26,86-66,20
0,-363.8762,27,63-21,42
0,-1157.2827,28,14-51,59
0,33932.258,29,72-5,67
0,291.52228,30,11-55,52
0,-282.89597,31,96-38,58
0,-94.977684,32,62-4,58
0,-1015.9212,33,2-49,49
0,2316.9446,34,76-44,32
0,-220.60545,35,42-36,6
0,-953.64874,36,59-26,33
0,485.54785,37,11-45,62
0,-153.76123,38,75-48,27
0,106.46036,39,68-28,40
0,-163.06973,40,73-64,9
0,470.56592,41,32-29,3
0,48.959824,42,22-83,35
0,-1066.7378,43,60-27,33
0,-1182.0238,44,49-72,73
0,-157.23386,45,67-40,27
0,-669.40015,46,19-82,33
0,-1234.3591,47,45-68,73
0,57.530624,48,62-67,91
0,-1420.6555,49,61-89,68
0,-517.42914,50,80-49,31
0,-116.50213,51,51-43,8
0,-515.1663,52,52-16,36
0,751.5766,53,86-58,28
0,-599.65765,54,72-74,94
0,-46.363945,55,69-17,52
0,1893.7108,56,45-13,32
0,-138.7804,57,71-70,1
0,98.68356,58,29-37,88
0,-514.2934,59,44-39,5
0,28.58511,60,42-7,35
0,-393.21063,61,57-26,31
0,188.96643,62,23-90,29
0,483.56195,63,53-51,2
0,-938.7117,64,64-45,19
0,1982.8077,65,66-22,44
0,-942.3893,66,51-91,56
0,-392.12448,67,15-31,80
0,-8.678908,68,61-44,17
0,-1086.552,69,88-31,57
0,559.4331,70,73-53,20
0,652.32654,71,80-52,28
0,-344.5792,72,21-93,24
0,-241.2631,73,92-20,72
0,-7490.7207,74,3-30,69
0,447.69128,75,4-97,3
0,-339.19012,76,41-32,9
0,-566.2587,77,75-66,9
0,1168.5759,78,19-23,92
0,38.736824,79,3-75,24
0,-487.949,80,45-56,85
0,-990.6474,81,57-68,85
0,4436.493,82,97-14,83
0,1020.0056,83,68-30,38
0,1068.7595,84,84-5,79
0,6.1663055,85,69-40,29
0,274.686,86,37-69,64
0,-1160.49,87,23-9,14
0,-707.938,88,91-86,5
0,-202.44977,89,18-12,6
0,284.87158,90,27-24,3
0,-823.07574,91,59-78,77
0,-447.22006,92,54-74,76
0,165.32518,93,73-18,55
0,-47.605698,94,60-65,91
0,665.354,95,23-8,15
0,-1161.2236,96,43-10,33
0,-80.21988,97,86-34,52
0,362.4264,98,58-6,52
0,-86.06392,99,93-47,46
0,722.00476,100,10-42,64
0,-499.73743,101,46-47,95
0,425.12933,102,21-70,47
0,77.90047,103,53-35,18
0,-433.5576,104,16-86,26
0,-94.35159,105,26-66,56
0,-442.30075,106,95-20,75
0,713.48035,107,4-84,16
0,1752.6053,108,10-52,54
0,-954.4902,109,3-90,9
0,-1297.8799,110,12-86,22
0,286.647,111,63-16,47
0,-815.64886,112,25-27,94
0,-735.0963,113,83-66,17
0,-239.32217,114,71-29,42
0,-839.17737,115,2-42,56
0,-501.5785,116,12-47,61
0,-346.26398,117,77-86,87
0,-77.85718,118,31-44,83
0,-7105.807,119,89-30,59
0,344.8066,120,35-29,6
0,-221.66476,121,51-9,42
0,791.51917,122,40-71,65
0,-1156.6917,123,14-91,19
0,-1092.0236,124,26-53,69
0,-3.9066925,125,8-61,43
0,40.81366,126,96-94,2
0,43.645622,127,75-17,58
0,6272.1665,128,5-97,4
0,-96.31181,129,55-73,78
0,156.54572,130,17-66,47
0,-104.44914,131,23-73,46
0,-356.84225,132,73-36,37
0,-623.37024,133,18-72,42
0,406.41745,134,25-91,30
0,1748.8179,135,11-53,54
0,-403.20416,136,49-87,58
0,96.37818,137,36-9,27
0,252.48999,138,9-3,6
0,890.19946,139,50-93,53
0,-217.94916,140,51-34,17
0,1065.6604,141,51-47,4
0,2452.5273,142,62-18,44
0,-622.82196,143,81-25,56
0,-431.4291,144,54-41,13
0,-145.1337,145,29-11,18
0,154.34846,146,90-65,25
0,90.841034,147,19-72,43
0,-2385.6711,148,57-97,56
0,92.259476,149,41-89,48
0,-563.08704,150,45-36,9
0,-472.76587,151,82-52,30
0,-990.182,152,5-68,33
0,1906.8275,153,87-55,32
0,415.01807,154,72-69,3
0,-991.32336,155,16-55,57
0,1622.3004,156,2-66,32
0,-704.6387,157,83-14,69
0,-22.165794,158,57-16,41
0,1690.0874,159,45-87,54
0,-1207.7454,160,90-22,68
0,1322.3683,161,92-60,32
0,1381.4413,162,44-12,32
0,932.0854,163,53-25,28
0,-840.8229,164,2-87,11
0,700.4552,165,33-55,74
0,388.87634,166,48-13,35
0,552.8491,167,23-11,12
0,75.692566,168,92-68,24
0,-778.82294,169,9-10,95
0,220.2337,170,36-62,70
0,-37.25702,171,33-67,62
0,469.25,172,75-23,52
0,464.25946,173,84-81,3
0,-1300.3535,174,17-32,81
0,-338.89273,175,53-73,76
0,-761.2665,176,61-11,50
0,-539.37225,177,47-25,22
0,14.116402,178,48-18,30
0,24499.895,179,82-15,67
0,-23.964119,180,40-52,84
0,-595.2465,181,60-49,11
0,-286.88382,182,54-70,80
0,-814.718,183,33-68,61
0,-209.03674,184,53-60,89
0,74.76192,185,93-86,7
0,-3987.2031,186,97-60,37
0,-18.245777,187,29-65,60
0,-355.00925,188,78-51,27
0,-238.68733,189,10-40,66
0,-850.1503,190,57-90,63
0,-1922.4569,191,69-96,69
0,-89.74665,192,90-97,89
0,-924.8091,193,37-84,49
0,15429.846,194,23-52,67
0,-448.43546,195,52-59,89
0,-5612.321,196,30-67,59
0,-148.77315,197,36-45,87
0,-246.4304,198,7-79,24
0,-228.78954,199,38-7,31
0,207.9869,200,34-28,6
0,1001.229,201,21-55,62
0,-949.585,202,4-44,56
0,776.8167,203,77-49,28
0,-516.514,204,20-76,40
0,606.34235,205,70-74,92
0,-822.3206,206,11-2,9
0,233.2872,207,45-89,52
0,2458.1091,208,13-65,44
0,-251.43002,209,7-90,13
0,-851.09326,210,92-87,5
0,239.7034,211,62-27,35
0,-827.9944,212,67-95,68
0,-177.65053,213,95-44,51
0,1310.7056,214,57-25,32
0,257.1745,215,57-63,90
0,522.2487,216,18-94,20
0,280.5468,217,36-37,95
0,-482.1798,218,5-55,46
0,-88.23218,219,73-23,50
0,678.9836,220,41-66,71
0,388.32425,221,67-92,71
0,549.4796,222,4-7,93
0,-245.04552,223,96-83,13
0,-284.17157,224,33-87,42
0,-730.8084,225,71-90,77
0,-1097.7372,226,27-51,72
0,-295.11606,227,90-63,27
0,-544.9615,228,80-39,41
0,-1079.7734,229,87-51,36
0,855.36176,230,9-43,62
0,518.07526,231,19-80,35
0,-439.45096,232,92-78,14
0,-70.9597,233,38-4,34
0,-696.7488,234,35-22,13
0,-1362.6572,235,58-85,69
0,611.0497,236,92-8,84
0,1303.2589,237,63-10,53
0,-85.57125,238,78-66,12
0,-21.54707,239,76-50,26
0,-863.5729,240,82-13,69
0,-455.84778,241,34-90,40
0,72.39989,242,7-83,20
0,-1000.2057,243,43-50,89
0,-518.9043,244,79-16,63
0,432.3677,245,44-15,29
0,-946.46936,246,47-11,36
0,-337.37302,247,16-62,50
0,-514.05896,248,45-6,39
0,10.979874,249,63-68,91
0,-692.5301,250,19-78,37
0,1256.2473,251,42-55,83
0,826.6255,252,6-74,28
0,-733.6837,253,54-89,61
0,-702.6809,254,25-71,50
0,-1214.0507,255,68-87,77
0,-751.14044,256,22-24,94
0,502.00974,257,66-64,2
0,294.9611,258,52-27,25
0,91.29614,259,93-64,29
0,1638.6073,260,64-32,32
0,553.0783,261,91-75,16
0,301.21393,262,33-74,55
0,-462.8458,263,39-85,50
0,-229.24786,264,77-16,61
0,-767.13806,265,91-10,81
0,557.5597,266,89-5,84
0,819.2406,267,61-32,29
0,-706.56946,268,64-25,39
0,-552.2341,269,38-40,94
0,651.4168,270,7-41,62
0,490.2141,271,25-7,18
0,160.82367,272,7-51,52
0,-5901.2764,273,66-30,36
0,603.2755,274,55-20,35
0,482.39542,275,68-93,71
0,603.6124,276,10-59,47
0,763.11914,277,63-95,64
0,-677.2642,278,65-51,14
0,-454.84045,279,40-55,81
0,-405.35025,280,65-44,21
0,200.61142,281,55-26,29
0,-555.5499,282,20-79,37
0,-1252.5967,283,37-4,33
0,-278.86975,284,72-51,21
0,-1258.338,285,10-69,37
0,-304.3425,286,36-93,39
0,-1270.6335,287,49-82,63
0,173.84442,288,9-50,55
0,-4444.519,289,12-30,78
0,-3026.246,290,61-30,31
0,-255.42133,291,58-15,43
0,-557.296,292,72-63,9
0,-269.87476,293,26-3,23
0,2392.1072,294,27-79,44
0,8.724534,295,51-95,52
0,1594.985,296,39-81,54
0,-449.9383,297,77-2,75
0,-20.937798,298,89-31,58
0,-277.26715,299,63-7,56
0,87.638535,300,8-66,38
0,-313.55463,301,19-57,58
0,-449.51825,302,55-88,63
0,-873.69403,303,50-90,56
0,156.80383,304,78-26,52
0,346.91333,305,40-23,17
0,-819.37646,306,77-14,63
0,-531.756,307,16-70,42
0,751.1842,308,20-42,74
0,-767.793,309,81-73,8
0,36.26837,310,76-69,7
0,-7701.7344,311,9-30,75
0,1458.541,312,79-89,86
0,870.5462,313,63-35,28
0,-523.99274,314,33-95,34
0,-490.56583,315,28-40,84
0,-234.54417,316,38-92,42
0,-1648.0558,317,85-36,49
0,246.50783,318,88-17,71
0,363.85132,319,25-13,12
0,-716.1907,320,51-12,39
0,-1246.1846,321,27-66,57
0,-696.2446,322,37-18,19
0,-6595.5186,323,47-30,17
0,-1136.8608,324,38-85,49
0,-354.79367,325,59-20,39
0,454.17078,326,42-76,62
0,598.5516,327,73-86,83
0,1011.8236,328,23-40,79
0,-1251.727,329,10-95,11
0,204.9964,330,8-2,6
0,-2282.9336,331,31-30,1
0,866.73865,332,12-25,83
0,-690.698,333,61-48,13
0,-392.61798,334,54-27,27
0,696.45306,335,69-5,64
0,-311.01572,336,64-38,26
0,-328.10898,337,94-85,9
0,-126.60865,338,35-11,24
0,514.07654,339,96-92,4
0,392.90826,340,69-74,91
0,147.147,341,54-42,12
0,185.02766,342,4-53,47
0,-727.8119,343,94-72,22
0,248.33601,344,81-50,31
0,-39.36474,345,60-17,43
0,-543.86597,346,57-38,19
0,1352.6458,347,3-97,2
0,-613.27936,348,69-23,46
0,-1100.8251,349,14-47,63
0,1282.1085,350,68-53,15
0,-394.29465,351,14-44,66
0,-801.4858,352,17-63,50
0,-949.8947,353,4-19,81
0,-155.63676,354,54-12,42
0,-1199.8594,355,66-93,69
0,411.0481,356,33-18,15
0,-135.36522,357,2-91,7
0,-763.5082,358,13-8,5
0,339.28668,359,36-54,78
0,119.80737,360,27-92,31
0,177.44691,361,78-7,71
0,-223.4549,362,81-54,27
0,1123.3538,363,17-85,28
0,173.0541,364,77-80,93
0,-4074.234,365,87-30,57
0,237.82285,366,80-51,29
0,-669.4266,367,27-62,61
0,46.169983,368,71-65,6
0,-948.4586,369,48-62,82
0,-1179.2871,370,25-6,19
0,-179.54283,371,56-32,24
0,-719.75525,372,7-16,87
0,-243.93272,373,37-57,76
0,69.46546,374,82-37,45
0,-739.64545,375,70-59,11
0,-309.26596,376,25-26,95
0,-694.52386,377,92-70,22
0,-1221.9646,378,17-44,69
0,-316.1903,379,35-28,7
0,-59.683212,380,66-41,25
0,-754.36816,381,88-80,8
0,1879.3857,382,77-94,79
0,705.5287,383,60-85,71
0,736.4069,384,76-14,62
0,-1616.085,385,16-43,69
